Variable,Coefficient
Scrim,35.903842493188755
TOT TD,18.02016827472755
Fmbl,-2.0377867272448777
Rec,18.167316112214014
Tgt,0.0
Att,-0.0
Age,-0.48476468583127774
Rush yds,0.0
Rec yds,5.152376869500115
Y/R,-1.9238826876831407
Rec TD,0.0
Catch%,0.0
Rush TD,-0.0
Yards/att,2.0316623757908956
Touch,0.0
Y/T,-1.18072833024568
G,15.927827704985447
GS,10.13706850409235
cScrim,0.11806754770809098
cTOT TD,0.0
cFmbl,0.0
cRec,1.9119750408321234
cTgt,0.0
cAtt,0.0
cRush yds,0.0
cRec yds,0.0
cY/R,0.0
cRec TD,0.0
cCatch%,0.4963653116709402
cRush TD,0.0
cY/A,0.09813614945906186
cTouch,1.1377351382955847
cY/T,-0.0
cG,-0.7577085854947098
cGS,-4.865287686046107
yInt,93.34893724696356
