Player,p2023
Jonathan Taylor,305.93478038849247
Cooper Kupp,362.13270002408103
Deebo Samuel,292.7049324842588
Najee Harris,249.99818864496677
Justin Jefferson,281.74812498336007
Austin Ekeler,298.1144694324917
Davante Adams,298.30207345890506
Joe Mixon,253.46401594433877
Ja'Marr Chase,258.3735479176351
Nick Chubb,208.65862754931067
Dalvin Cook,211.0061014153094
Mark Andrews,248.2154518014758
Alvin Kamara,234.40423172898284
Tyreek Hill,252.14155579226093
Antonio Gibson ,200.92448075187775
Ezekiel Elliott,215.23882236861667
Leonard Fournette,245.9278920932084
Stefon Diggs,246.51669287333522
Josh Jacobs,208.22188126207692
Javonte Williams,170.00562626578292
Diontae Johnson,240.39788825885108
D.J. Moore,211.47581142704314
Aaron Jones,213.2646702941273
Tyler Lockett,218.69846654233478
CeeDee Lamb,209.84934494839183
Cordarrelle Patterson,203.66516984769927
David Montgomery,200.49807338790387
Mike Williams,221.91156030855342
Keenan Allen,231.62931876209416
Melvin Gordon,183.01949535936512
Travis Kelce,234.46300536448206
James Conner,219.73773248688224
Michael Pittman Jr.,211.57032174917765
Chris Godwin,239.5056306597105
AJ Dillon ,153.76768361088818
Elijah Mitchell,191.2323725218724
Devin Singletary,172.54613156138095
Derrick Henry ,268.1554269289993
Tee Higgins,216.30794385414433
Darnell Mooney,195.7943939666947
D'Andre Swift,206.18570566324095
Terry McLaurin,192.64813460132063
Damien Harris,202.0228949533178
Brandin Cooks,211.49386410012903
Tony Pollard,137.16060148159752
Mike Evans,234.75269477679575
Hunter Renfrow,214.48531510310048
Kyle Pitts,164.9586567268056
Jaylen Waddle,220.93967603484333
Marquise Brown,202.28485652580792
Darrel Williams,167.28903047052225
Christian Kirk,181.84035515380293
James Robinson,169.94308325131828
D.K. Metcalf,212.11576566818667
Sony Michel,125.72879705222117
Amon-Ra St. Brown,193.55414370474267
Michael Carter,152.2141682725259
Chase Claypool,164.2509854165708
George Kittle,199.01056237869273
Kendrick Bourne,150.82492851315078
DeVonta Smith,167.53777733657313
Miles Sanders,132.18515878114778
Chase Edmonds,163.61184174237889
A.J. Brown,189.46119523880142
Jakobi Meyers,173.28629836399918
Amari Cooper,189.94084823332653
Darrell Henderson,177.2615791473198
Devontae Booker,127.55592792786643
Saquon Barkley,157.80898355651738
Tyler Boyd,167.0301796028877
A.J. Green,138.85240904682874
Myles Gaskin,157.39250108056103
Brandon Aiyuk,160.5935871767672
Marvin Jones,165.0969254619206
Dallas Goedert,161.12158709929963
Van Jefferson,164.17765699132985
Dalton Schultz,186.63367899800284
Rob Gronkowski,184.66441506491628
Rashaad Penny,153.73027886887704
Chuba Hubbard,124.25597238864893
Christian McCaffrey,207.85109976052922
Mike Gesicki,145.0781632938104
Courtland Sutton,144.33131112917053
Russell Gage,164.7288644442678
Zach Ertz,165.02610148603318
Devonta Freeman,134.3279109525794
Mike Davis,126.3884803188621
