Player,p2023
Josh Jacobs,272.5971218222333
Derrick Henry ,260.1676044677475
Christian McCaffrey,294.3958653420757
Justin Jefferson,308.8032848131007
Nick Chubb,239.16683938408278
Tyreek Hill,291.28095107079866
Saquon Barkley,250.33296121832632
Austin Ekeler,307.7002250168067
Aaron Jones,214.08830604670638
Davante Adams,285.927672748234
A.J. Brown,261.2954822237257
Dalvin Cook,213.73663460746766
Rhamondre Stevenson,204.1887738103959
Travis Etienne,174.93090217351568
Stefon Diggs,279.63147451353217
CeeDee Lamb,259.89560014653205
Alvin Kamara,203.30290762230854
Jaylen Waddle,231.37302699219265
Tony Pollard,211.92930642931987
Miles Sanders,194.16751372327872
Travis Kelce,267.4524777302665
Najee Harris,196.66344833618982
Amon-Ra St. Brown,242.96988695665408
Joe Mixon,233.15358242887862
Terry McLaurin,205.19301744092513
Kenneth Walker III,188.95090592734897
DeVonta Smith,222.3683732232447
Leonard Fournette,197.93688849997847
Tyler Allgeier,142.93079892430302
Amari Cooper,220.38315847769508
Jamaal Williams,190.8652129010904
Mike Evans,214.91425334053872
Christian Kirk,218.02467533030898
David Montgomery,170.22790813845035
Garrett Wilson,189.80791866471912
Dameon Pierce,172.87007963360347
Devin Singletary,168.23581286110192
Raheem Mostert,163.74931452423888
James Conner,205.84273095075184
Ja'Marr Chase,264.53284068961307
D.K. Metcalf,201.4573579811363
Jeff Wilson,144.89100153570524
Chris Olave,187.65362146729376
Brandon Aiyuk,204.6840005579137
Tyler Lockett,217.03757676175906
Tee Higgins,201.08368715549136
Chris Godwin,209.01708060920743
Jerry Jeudy,199.1489169620986
Jonathan Taylor,171.29154202652506
AJ Dillon ,142.19588171133807
Ezekiel Elliott,179.27451257538064
Isiah Pacheco,122.72204049080915
Michael Pittman Jr.,197.271570416126
D.J. Moore,184.43625696458054
D'Onta Foreman,126.10717778907835
JuJu Smith-Schuster,175.62850021127605
D'Andre Swift,184.76187304141212
T.J. Hockenson,187.38419635849405
Diontae Johnson,165.2879723082757
Cam Akers,140.43564574772017
Antonio Gibson ,148.29450761021883
Mike Williams,188.7573267925679
Latavius Murray,150.17662422705314
Drake London,163.28672952449716
Cooper Kupp,273.94299593711617
Deebo Samuel,178.7973888231177
Brian Robinson Jr.,122.2068688729539
Mark Andrews,188.16794362974613
Curtis Samuel,162.28876160507917
Zay Jones,181.90434468716882
Donovan Peoples-Jones,154.89157895922472
Gabriel Davis,173.8907148306523
Courtland Sutton,161.6035477992336
George Pickens,151.69047655387283
Cordarrelle Patterson,157.24150602038063
Jerick McKinnon,154.5145285090624
Jakobi Meyers,181.72487648520905
Khalil Herbert,116.94047371593281
Allen Lazard ,176.30550627519975
Evan Engram,161.61131036508328
Josh Palmer,155.31959047081347
Rachaad White,126.72684313537899
George Kittle,195.41835678032677
