Player,Year,Pos,Actual,Scrim,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Y/R,Rec TD,Catch%,Rush TD,Yards/att,Touch,Y/T,G,GS,cScrim,cTOT TD,cFmbl,cRec,cTgt,cAtt,cRush yds,cRec yds,cY/R,cRec TD,cCatch%,cRush TD,cY/A,cTouch,cY/T,cG,cGS
Josh Jacobs,2019,RB,191.6,101.23076923076923,0.5384615384615384,0.07692307692307693,1.5384615384615385,2.076923076923077,18.615384615384617,21.0,88.46153846153847,12.76923076923077,8.3,0.0,74.1,0.5384615384615384,4.8,20.153846153846153,5.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Jacobs,2020,RB,231.3,86.86666666666666,0.8,0.13333333333333333,2.2,3.0,18.2,22.0,71.0,15.866666666666667,7.2,0.0,73.3,0.8,3.9,20.4,4.3,15.0,15.0,101.23076923076923,0.5384615384615384,0.07692307692307693,1.5384615384615385,2.076923076923077,18.615384615384617,88.46153846153847,12.76923076923077,8.3,0.0,74.1,0.5384615384615384,4.8,20.153846153846153,5.0,13.0,13.0
Josh Jacobs,2021,RB,226.0,81.33333333333333,0.6,0.13333333333333333,3.6,4.266666666666667,14.466666666666667,23.0,58.13333333333333,23.2,6.4,0.0,84.4,0.6,4.0,18.066666666666666,4.5,15.0,14.0,94.04871794871795,0.6692307692307693,0.10512820512820513,1.8692307692307693,2.5384615384615383,18.407692307692308,79.73076923076923,14.317948717948719,7.75,0.0,73.69999999999999,0.6692307692307693,4.35,20.276923076923076,4.65,14.0,14.0
Josh Jacobs,2022,RB,324.3,120.76470588235294,0.7058823529411765,0.17647058823529413,3.1176470588235294,3.764705882352941,20.0,24.0,97.23529411764706,23.529411764705884,7.5,0.0,82.8,0.7058823529411765,4.9,23.11764705882353,5.2,17.0,17.0,89.8102564102564,0.6461538461538462,0.11452991452991453,2.4461538461538463,3.114529914529914,17.094017094017094,72.53162393162393,17.278632478632478,7.3,0.0,77.26666666666667,0.6461538461538462,4.233333333333333,19.54017094017094,4.6000000000000005,14.333333333333334,14.0
Derrick Henry ,2016,RB,105.7,41.8,0.3333333333333333,0.0,0.8666666666666667,1.0,7.333333333333333,22.0,32.666666666666664,9.133333333333333,10.5,0.0,86.7,0.3333333333333333,4.5,8.2,5.1,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Henry ,2017,RB,133.0,55.0,0.375,0.0625,0.6875,1.0625,11.0,23.0,46.5,8.5,12.4,0.0625,64.7,0.3125,4.2,11.6875,4.7,16.0,2.0,41.8,0.3333333333333333,0.0,0.8666666666666667,1.0,7.333333333333333,32.666666666666664,9.133333333333333,10.5,0.0,86.7,0.3333333333333333,4.5,8.2,5.1,15.0,2.0
Derrick Henry ,2018,RB,200.8,72.375,0.75,0.0625,0.9375,1.125,13.4375,24.0,66.1875,6.1875,6.6,0.0,83.3,0.75,4.9,14.375,5.0,16.0,12.0,48.4,0.35416666666666663,0.03125,0.7770833333333333,1.03125,9.166666666666666,39.58333333333333,8.816666666666666,11.45,0.03125,75.7,0.32291666666666663,4.35,9.94375,4.9,15.5,2.0
Derrick Henry ,2019,RB,290.6,116.4,1.2,0.3333333333333333,1.2,1.6,20.2,25.0,102.66666666666667,13.733333333333333,11.4,0.13333333333333333,75.0,1.0666666666666667,5.1,21.4,5.4,15.0,15.0,56.39166666666667,0.4861111111111111,0.041666666666666664,0.8305555555555556,1.0625,10.590277777777777,48.451388888888886,7.940277777777777,9.833333333333334,0.020833333333333332,78.23333333333333,0.46527777777777773,4.533333333333333,11.420833333333334,4.933333333333334,15.666666666666666,5.333333333333333
Derrick Henry ,2020,RB,329.1,133.8125,1.0625,0.1875,1.1875,1.9375,23.625,26.0,126.6875,7.125,6.0,0.0,61.3,1.0625,5.4,24.8125,5.4,16.0,16.0,71.39375000000001,0.6645833333333333,0.11458333333333333,0.9229166666666666,1.196875,12.992708333333333,62.00520833333333,9.388541666666667,10.225,0.04895833333333333,77.425,0.615625,4.675,13.915625,5.050000000000001,15.5,7.75
Derrick Henry ,2021,RB,185.10000000000002,136.375,1.25,0.125,2.25,2.5,27.375,27.0,117.125,19.25,8.6,0.0,90.0,1.25,4.3,29.625,4.6,8.0,8.0,83.87750000000001,0.7441666666666666,0.12916666666666665,0.9758333333333333,1.345,15.119166666666667,74.94166666666666,8.935833333333333,9.379999999999999,0.03916666666666667,74.2,0.705,4.82,16.095,5.12,15.6,9.4
